season,mnth,holiday,weekday,workingday,weathersit,temp,ftemp,hum,windspeed,cnt
0,0,0,1,0,0.5,0.355169596,0.373517379,0.828620051,0.284606201,0.110791532
0,0,0,0,0,0.5,0.37923205,0.360540669,0.715770694,0.466214554,0.089622642
0,0,0,0.166666667,1,0,0.170999802,0.144830108,0.449638046,0.465740397,0.152669121
0,0,0,0.333333333,1,0,0.175530437,0.174649238,0.607131105,0.284296968,0.177174413
0,0,0,0.5,1,0,0.209120182,0.197158303,0.449313111,0.339142514,0.181546249
0,0,0,0.666666667,1,0,0.180948258,0.202328772,0.532916195,0.138481704,0.182236539
0,0,0,0.833333333,1,0.5,0.171196678,0.170339857,0.512797943,0.301675857,0.171191901
0,0,0,1,0,0.5,0.131918719,0.109190755,0.55098509,0.503868813,0.107800276
0,0,0,0,0,0,0.098690328,0.048705847,0.446444216,0.700017296,0.092038656
0,0,0,0.166666667,1,0,0.114265941,0.094271346,0.496572751,0.414114997,0.149447768
0,0,0,0.333333333,1,0.5,0.137016306,0.147532824,0.705772751,0.205619875,0.142774965
0,0,0,0.5,1,0,0.14154694,0.106852952,0.616498715,0.581842917,0.131155085
0,0,0,0.666666667,1,0,0.131918719,0.094264783,0.48371928,0.574365665,0.159226875
0,0,0,0.833333333,1,0,0.126772536,0.143527974,0.553034447,0.214723691,0.1609526
0,0,0,1,0,0.5,0.217064991,0.221890971,0.51285347,0.279487366,0.141049241
0,0,0,0,0,0,0.214989073,0.203651908,0.497429306,0.342302874,0.135987115
0,0,1,0.166666667,0,0.5,0.145417169,0.128246278,0.552699229,0.353814584,0.112517257
0,0,0,0.333333333,1,0.5,0.196298337,0.201178904,0.886032905,0.256422716,0.07604694
0,0,0,0.5,1,0.5,0.290383766,0.287929639,0.762713625,0.383294786,0.187298665
0,0,0,0.666666667,1,0.5,0.252370546,0.230998033,0.553555784,0.357704733,0.21916705
0,0,0,0.833333333,1,0,0.147494332,0.103387596,0.470008226,0.682065296,0.174988495
0,0,0,1,0,0,0,0,0.411311054,0.308363533,0.110331339
0,0,0,0,0,0,0.046591395,0.025950138,0.44886581,0.462217204,0.110906581
0,0,0,0.166666667,1,0,0.04767496,0.051009521,0.505644216,0.280243956,0.160377358
0,0,0,0.333333333,1,0.5,0.204785177,0.204057512,0.634403085,0.221419614,0.225839853
0,0,0,0.5,1,1,0.197336296,0.163462962,0.88688946,0.559625564,0.055683387
0,0,0,0.666666667,1,0,0.169300191,0.184596386,0.706940874,0.188519296,0.047054763
0,0,0,0.833333333,1,0.5,0.179864196,0.189344187,0.81546838,0.208027768,0.131730327
0,0,0,1,0,0,0.171196678,0.174654488,0.670168638,0.253515926,0.123791993
0,0,0,0,0,0,0.19611766,0.224791895,0.742595373,0.106357354,0.123561896
0,0,0,0.166666667,1,0.5,0.151647414,0.140688745,0.620822622,0.339744487,0.170156466
0,0.090909091,0,0.333333333,1,0.5,0.165778857,0.204062763,0.853023136,0.063539731,0.153934653
0,0.090909091,0,0.5,1,0.5,0.250293382,0.230167135,0.797343959,0.498723177,0.173032674
0,0.090909091,0,0.666666667,1,0,0.159278219,0.129699365,0.450206684,0.526438691,0.175793833
0,0.090909091,0,0.833333333,1,0.5,0.189615776,0.196261773,0.601765553,0.217385156,0.193971468
0,0.090909091,0,1,0,0.5,0.217064991,0.215256914,0.955441645,0.285911164,0.113092499
0,0.090909091,0,0,0,0,0.282482568,0.27906804,0.584404113,0.246166491,0.184192361
0,0.090909091,0,0.166666667,1,0,0.264831037,0.294802595,0.759211311,0.047449932,0.194431661
0,0.090909091,0,0.333333333,1,0,0.201489378,0.156435114,0.553128021,0.700017296,0.173492867
0,0.090909091,0,0.5,1,0.5,0.094266853,0.085601392,0.508774293,0.343139864,0.182121491
0,0.090909091,0,0.666666667,1,0,0.106185313,0.092512415,0.449759383,0.411369009,0.174413254
0,0.090909091,0,0.833333333,1,0,0.161937287,0.176469862,0.520682776,0.177619867,0.198343304
0,0.090909091,0,1,0,0,0.203566541,0.20199405,0.559554756,0.3730901,0.166820064
0,0.090909091,0,0,0,0,0.320722569,0.321652544,0.470324936,0.49166236,0.180280718
0,0.090909091,0,0.166666667,1,0,0.443430991,0.419098629,0.386460668,0.815377657,0.217556374
0,0.090909091,0,0.333333333,1,0,0.257878083,0.229979428,0.323237018,0.55452116,0.206281638
0,0.090909091,0,0.5,1,0,0.322889448,0.311265664,0.435452956,0.472918723,0.240796134
